FID,OBJECTID,Site ID,Site Name,Level of Government,State,Level of Protection,Management Agency,Management Plan,Primary Conservation Focus,Conservation Focus,Fishing Restrictions,Protection Focus,Permanence,Constancy,Year Established,Anchor,Vessel,IUCN_MPA,IUCN category,Category,Marine Status,URL,WDPA_Cd,ProSeasID,Designation,Area (km2),Marine Area (km2),Percent Area Marine,No-Take Area (km2),Longitude,Latitude,VxCount,SHAPE_Leng,SHAPE_Area,Shape__Area,Shape__Length
11,11,CT22,Great Island Wildlife Area/Roger Tory Peterson Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1931,,,1,VI,IUCN MPA,Mixed,https://www.ctaudubon.org/rtp-estuary-home/,0,CT22,Wildlife Area/Natural Area Preserve,2.29285,0.273713708,12,0,-72.33371342,41.29151046,963,0.279429282,0.000246264,4061742.098,36053.8726
12,12,CT24,Hammock River Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,"Natural Heritage, Cultural Heritage and Sustainable Production",No Site Restrictions,Ecosystem,Permanent,Year-round,1969,,,1,VI,IUCN MPA,Marine,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT24,Wildlife Area,0.367092,0.367091507,100,0,-72.50673351,41.26662111,275,0.092975547,3.9411E-05,649747.6797,11966.54783
13,13,CT25,Lords Cove Wildlife Area/Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1931,,,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT25,Wildlife Area/Natural Area Preserve,0.680112,0.059634816,9,0,-72.362874,41.34885017,541,0.164184641,7.31135E-05,1206976.113,20929.85589
14,14,CT27,Nott Island Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,0,,,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT27,Wildlife Area,0.32506,0.01872785,6,0,-72.37147866,41.34868862,117,0.033772656,3.49425E-05,576803.5039,4420.328593
15,15,CT32,Plum Bank Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1957,,,1,VI,IUCN MPA,Interface,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT32,Wildlife Area,1.00175,0.026511012,3,0,-72.38577148,41.27673872,782,0.223240366,0.000107564,1773608.883,28882.11599
16,16,CT33,Popes Island Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1955,,,1,VI,IUCN MPA,Marine,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT33,Wildlife Area,0.0976259,0.097625896,100,0,-73.11050753,41.2194892,40,0.014578155,1.04736E-05,172547.6133,2068.995317
17,17,CT34,Quinnipiac River Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1977,,,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT34,Wildlife Area,2.28382,0.137200117,6,0,-72.88317884,41.34877277,980,0.317417964,0.0002455,4052534.922,40120.45109
18,18,CT35,Ragged Rock Creek Marsh Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1942,,,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT35,Wildlife Area,0.800953,0.057751197,7,0,-72.35905186,41.30605316,384,0.128524491,8.60374E-05,1419228.617,16501.10093
19,19,CT38,South Cove Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1968,,,1,VI,IUCN MPA,Interface,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT38,Wildlife Area,0.105426,0.004901103,5,0,-72.36916553,41.26871073,130,0.028920516,1.13189E-05,186613.8906,3668.022775
20,20,CT4,Hammonasset Beach State Park,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1920,,,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325210&deepNav_GID=1650%20,0,CT4,State Park,2.3552,0.003729505,0,0,-72.55844508,41.26590183,520,0.189338045,0.000252851,4168576.988,24101.58973
21,21,CT5,Harkness Memorial State Park/William A Niering Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1952,,,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325214&deepNav_GID=1650%20,55557962,CT5,State Park/Natural Area Preserve,1.33631,0.00853257,1,0,-72.1173045,41.30758744,153,0.087257005,0.000143556,2368219.121,10956.7774
22,22,CT8,Selden Neck State Park/Natural Area Preserve,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1917,,,1,IV,IUCN MPA,Marine,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=435364&deepNav_GID=1650#map,0,CT8,State Park/Natural Area Preserve,2.27965,2.279646397,100,0,-72.41000684,41.398065,236,0.089887476,0.000245237,4051263.953,11492.78985
23,23,DE1,Cape Henlopen State Park,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1964,,,1,IV,IUCN MPA,Interface,https://www.destateparks.com/park/cape-henlopen/,21757,DE1,State Park,21.7595,0.459614336,2,0,-75.10226196,38.75873631,818,0.596423805,0.002251801,35784573.6,74821.98824
24,24,DE10,Augustine Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1964,,,1,VI,IUCN MPA,Mixed,https://www.stateparks.com/augustine_state_wildlife_management_area_in_delaware.html,5555991,DE10,Wildlife Area,10.5465,0.608316243,6,0,-75.59185657,39.46283284,2965,0.409282379,0.001102813,17708395.21,52995.62372
25,25,DE4,Ted Harvey Conservation Area (Wildlife Area),State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1979,,,1,VI,IUCN MPA,Interface,https://www.visitdelaware.com/listings/ted-harvey-wildlife-area/2420/,555586786,DE4,Wildlife Area,10.4844,0.279671669,3,0,-75.424866,39.08372876,1842,0.463150778,0.001089963,17400712.06,58135.02989
26,26,DE6,Little Creek Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1957,,,1,VI,IUCN MPA,Interface,https://www.visitdelaware.com/listings/little-creek-wildlife-area/2410/,555586788,DE6,Wildlife Area,18.8365,0.471217453,3,0,-75.42588819,39.1636055,2214,0.560169621,0.001960481,31333541.28,70144.56781
27,27,DE8,Assawoman Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1943,,,1,VI,IUCN MPA,Interface,https://www.stateparks.com/assawoman_bay_state_wildlife_area_in_delaware.html,5555989,DE8,Wildlife Area,11.6245,0.590642035,5,0,-75.09952555,38.49292553,2888,0.636573449,0.001198874,18987066.97,79458.60997
28,28,DE9,Cedar Swamp Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1981,,,1,VI,IUCN MPA,Mixed,http://www.dnrec.delaware.gov:80/fw/Hunting/Pages/WildlifeAreaMaps.aspx,555586789,DE9,Wildlife Area,21.7952,1.551019073,7,0,-75.55877388,39.38817209,3697,0.653150236,0.002275699,36488335.78,81540.33135
29,29,FL1,Alligator Harbor Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/alligator/; Site Management Plan|https://www.gpo.gov/fdsys/pkg/CZIC-qh91-75-f6-a55-1986/html/CZIC-qh91-75-f6-a55-1986.htm,555586744,FL1,Aquatic Preserve,58.3904,57.79964828,99,0,-84.46590749,29.90151681,1666,0.5555309,0.005435513,77700013.52,65015.46649
30,30,FL10,Estero Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1966,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/estero/,555586745,FL10,Aquatic Preserve,43.5992,40.72282028,93,0,-81.87210051,26.44158622,12535,2.691406364,0.003928487,54357249.67,316639.6985
31,31,FL11,Fort Pickens State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/ftpickens/,555586746,FL11,State Park Aquatic Preserve,126.004,125.1061325,99,0,-87.28498801,30.29995324,1387,1.088433192,0.011776907,169030219.7,124971.3374
32,32,CA113,Farallon Islands Game Refuge,State,CA,Uniform Multiple Use,California Department of Fish and Wildlife,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1971,Unrestricted,Restricted,1,VI,IUCN MPA,Marine,,0,CA113,Game Refuge,46.2203,46.06332397,100,0,-123.0473107,37.73145127,2172,0.511426795,0.004716015,73892933.3,63651.58297
33,33,CT11,Hammonasset Natural Area Preserve,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1920,,,1,V,IUCN MPA,Interface,,55557792,CT11,Natural Area Preserve,1.67721,0.085859306,5,0,-72.5454345,41.2596578,608,0.157834475,0.000180046,2968010.566,20475.96171
34,34,DE5,Woodland Beach Wildlife Area,State,DE,Zoned Multiple Use,Delaware Department of Natural Resources and Environmental Control,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1953,,,1,VI,IUCN MPA,Mixed,,555586787,DE5,Wildlife Area,25.2806,3.8462708,15,0,-75.50850951,39.33333666,2919,0.76130591,0.002637552,42257048.8,95204.37199
35,35,FL520,St. Joseph Bay State Buffer Preserve,State,FL,No Take,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1995,,,1,Ia,IUCN MPA,Mixed,https://floridadep.gov/rcp/state-buffer-preserve/locations/st-joseph-bay-state-buffer-preserve,375080,FL520,State Buffer Preserve,22.7007,1.803098798,8,22.70066643,-85.29193594,29.70985151,1109,0.616551199,0.002109133,30092162.5,74241.23941
36,36,FL527,St. Sebastian River Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Restrictions Unknown,Ecosystem,Permanent,Year-round,1995,,,1,IV,IUCN MPA,Interface,https://www.floridastateparks.org/park/St-Sebastian-River,666669,FL527,State Park,87.8309,0.243167967,0,87.8309,-80.56181277,27.8209712,4370,1.078957048,0.008014039,112289788.9,127427.9696
37,37,FL12,Gasparilla Sound - Charlotte Harbor Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1979,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/gasparilla-sound-charlotte-harbor-aquatic-preserve,555586747,FL12,Aquatic Preserve,341.432,334.5368652,98,0,-82.13823126,26.81680165,11571,2.931507607,0.030872879,428680924.5,346072.1535
38,38,FL1207,Werner-Boyce Salt Springs State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1992,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://www.floridastateparks.org/park/Werner-Boyce,555586061,FL1207,State Park,16.1406,5.078304291,31,0,-82.72277723,28.31759114,483,0.27589937,0.001479554,20827033.83,32668.18107
39,39,FL14,Lemon Bay Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1986,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/lemon/,555586748,FL14,Aquatic Preserve,27.0603,26.27511597,97,0,-82.34378866,26.91813993,4848,1.372803831,0.002449026,34036083.46,162745.0032
40,40,FL15,Matlacha Pass Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/matlacha/,555586749,FL15,Aquatic Preserve,80.4238,53.61367035,67,0,-82.07478549,26.59169684,2778,1.085466752,0.007260432,100653174.8,129662.3668
41,41,FL1507,Apalachicola River Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1974,Restricted,Restricted,1,VI,IUCN MPA,Interface,https://myfwc.com/viewing/recreation/wmas/lead/apalachicola-river,365317,FL1507,Wildlife and Environmental Area,349.211,10.04760838,3,0,-85.02405313,29.87518931,1133,2.169686265,0.032499099,464450462.9,261033.5237
42,42,FL1511,Florida Keys Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,,,1,VI,IUCN MPA,Mixed,https://myfwc.com/viewing/recreation/wmas/lead/florida-keys,368569,FL1511,Wildlife and Environmental Area,10.5314,0.679698646,6,0,-81.20825097,24.62017591,8754,1.341885134,0.000935857,12770828.01,156297.6262
43,43,FL1513,Southern Glades Wildlife and Environmental Area,State,FL,Uniform Multiple Use,Florida Fish and Wildlife Conservation Commission,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1997,,,1,VI,IUCN MPA,Marine,https://myfwc.com/viewing/recreation/wmas/cooperative/southern-glades,555586764,FL1513,Wildlife and Environmental Area,123.661,123.6614685,100,0,-80.5155956,25.33140528,13,0.447331755,0.011040923,151374745.5,52217.23142
44,44,FL17,Pine Island Sound Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pine-island-sound-aquatic-preserve,555586750,FL17,Aquatic Preserve,229.495,219.9063263,96,0,-82.16422638,26.58562664,8361,2.316468593,0.020709248,286972636.5,274302.2736
45,45,FL18,Pinellas County Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Restricted,Restricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pinellas-county-aquatic-preserves,555586751,FL18,Aquatic Preserve,1430.74,1418.258789,99,0,-82.8434443,27.90379304,24061,9.044880978,0.130646665,1831981125,1075991.209
46,46,FL2,Apalachicola Bay Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/apalachicola-ap/,555586900,FL2,Aquatic Preserve,418.742,310.2730408,74,0,-85.0057352,29.69665144,3756,1.724700292,0.03890038,554940844.2,203058.6894
47,47,FL20,Rocky Bayou State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1970,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/rocky/,555586752,FL20,Aquatic Preserve,1.49281,1.448677301,97,0,-86.42811992,30.50390518,258,0.061022606,0.000139816,2010931.455,7139.987345
48,48,FL22,St. Andrews State Park Aquatic Preserve,State,FL,Zoned Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1972,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/standrews/,555586753,FL22,Aquatic Preserve,96.9372,96.50189209,100,0,-85.70254291,30.08884821,1312,0.736363931,0.00904079,129481597.8,86876.49631
49,49,FL23,St. Joseph Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/st-joseph-bay-aquatic-preserve,555586754,FL23,Aquatic Preserve,267.072,265.925293,100,0,-85.39146845,29.77157303,2266,1.313439841,0.024829006,354468626.7,161100.9138
50,50,FL24,St. Martins Marsh Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Unrestricted,Unrestricted,1,IV,IUCN MPA,Mixed,https://floridadep.gov/coastal/sites/stmartins/,555586755,FL24,Aquatic Preserve,128.015,78.64208984,61,0,-82.69766688,28.83104855,2347,0.910748966,0.011792139,166805463.9,108648.9409
51,51,FL25,Terra Ceia Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1998,Unrestricted,Unrestricted,1,IV,IUCN MPA,Interface,https://www.floridastateparks.org/park/Terra-Ceia,555585665,FL25,State Park,7.76402,0.161773384,2,0,-82.56218257,27.59787727,2972,0.725562676,0.000706972,9885586.938,86153.66214
52,52,FL26,Yellow River Marsh Preserve State Park,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1970,,,1,IV,IUCN MPA,Marine,https://www.floridastateparks.org/park/yellow-river,555585667,FL26,State Park,3.38419,3.38418889,100,0,-87.06739547,30.48661279,213,0.300528805,0.000316952,4558438.379,35764.78317
53,53,FL3,Big Bend Seagrasses Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1985,Unrestricted,Unrestricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/coastal/sites/bigbend/,0,FL3,Aquatic Preserve,2764.44,2744.186768,99,0,-83.43685127,29.50339978,86253,22.3641122,0.256324865,3649745906,2663285.75
54,54,FL4,Boca Ciega Bay Aquatic Preserve,State,FL,Uniform Multiple Use,Florida Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1969,Restricted,Restricted,1,IV,IUCN MPA,Marine,https://floridadep.gov/rcp/aquatic-preserve/locations/pinellas-county-aquatic-preserves,0,FL4,Aquatic Preserve,74.5517,73.05915833,98,0,-82.72812446,27.75887738,8325,2.62577042,0.006795536,95120677.9,312088.526
